Country Name,Country Code,Indicator Name,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063715604,1200546515,1311101988,1507765895,1641719919,1746181543,1824147622,1893129003,2031449553,2172115724,2436136799,2892531562,3546208612,4583264446,5964254729,8093596689,10461447034,9633680635,9988482237,10160338859,11192556125,11911914267,12047457702,11738591315,11045672827,11621380669,12521390581,13769456394,12535906962,13548071334,16574298012,20363784078
American Samoa,ASM,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,108123708.3,135290976.4,151263465.1,154162995.7,168575704.1,198930925.2,227376814.5,251285303.1,309671068,384754715.9,414593905.8,444004767.5,478852003.5,505427552.9,551794578.1,601817527.9,594942332.3,652956747.4,699715217,733840254.7,780245078.5,839102311.7,806629615.6,824976147.6,909559498.9,1011171005,1118685673,1268397129,1413751736,1471330658,1325890585,1227935993,1214841397,1252063996,1263545225,1304076078,1301652850,1356422451,1430962100,1587666498,1666587288,1412036764,1539724314,1754228790,1884713523
Australia,AUS,"GNI, Atlas method (current US$)",20130883659,21577086217,23523283364,25870277045,27329287396,29959486316,32792159122,36512030486,40943087735,44927802097,51221000320,62230718042,81629704296,1.00308E+11,1.10395E+11,1.14696E+11,1.21601E+11,1.39279E+11,1.59099E+11,1.7712E+11,1.8335E+11,1.78092E+11,1.86981E+11,1.89364E+11,1.97128E+11,2.04297E+11,2.33713E+11,2.6233E+11,2.9599E+11,3.15263E+11,3.24593E+11,3.34187E+11,3.37011E+11,3.48744E+11,3.75213E+11,4.06393E+11,4.07959E+11,4.0651E+11,4.05356E+11,3.91828E+11,3.93995E+11,4.21653E+11,5.15189E+11,6.20293E+11,7.07654E+11,7.78775E+11,9.01129E+11,9.56571E+11,1.03009E+12,1.12619E+12,1.37065E+12,1.5286E+12,1.53147E+12,1.44197E+12,1.3096E+12,1.26732E+12,1.32672E+12,1.39262E+12,1.37563E+12,1.47033E+12,1.58221E+12,1.682E+12
Austria,AUT,"GNI, Atlas method (current US$)",7708010821,8340229873,9149154371,9925271907,10969882308,11742664219,12762584178,14059678463,15610528298,17471067680,20827473371,27135197432,35357094636,41973161484,45227642591,50391969953,56986218163,72612079133,86525729930,84581170381,78645874205,72607743508,70106042140,70825979699,81882181234,1.04616E+11,1.37095E+11,1.47034E+11,1.58408E+11,1.69121E+11,1.92283E+11,1.96613E+11,2.07435E+11,2.24071E+11,2.39521E+11,2.35529E+11,2.23132E+11,2.1647E+11,2.14816E+11,2.03661E+11,2.02319E+11,2.28183E+11,2.7666E+11,3.1901E+11,3.43188E+11,3.69508E+11,4.09461E+11,4.10113E+11,4.16108E+11,4.25423E+11,4.22312E+11,4.30137E+11,4.30664E+11,4.10367E+11,4.03991E+11,3.96282E+11,4.33014E+11,4.52884E+11,4.36789E+11,4.75966E+11,5.03844E+11,5.02931E+11
Azerbaijan,AZE,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149874601,802779412.2,601751458.6,1391519161,1885441931,3237745487,4068114821,4785136748,5110511673,5527955027,6009388240,6888920808,8008534111,10804486132,16262383112,23439011137,34124769815,43168511596,48999368900,51060960442,60209457188,70148952110,73755498527,63779093246,46724202855,40496411674,40589307426,45201352796,45211147662,49737895390,57455146464,67529067194
Burundi,BDI,"GNI, Atlas method (current US$)",206666179.6,229705021.3,249136186.9,218415484.9,186278497.8,178801235.6,176530724.1,178807837,235185344.3,250901658.1,245081171.3,301256262.2,348631154.1,414529128.5,461778313.3,545551150.7,581439794,720310248.7,896643348.1,1074923411,1034715176,1019182029,1009821429,1131169776,1201972391,1294120780,1302305820,1210929034,1187230148,1225750919,1192299103,1044187086,955734527.5,916444361.7,868857678.2,906257045.8,906190341.8,866791060.4,859340937.3,843865403.3,862872253,827371846.9,887399116,995526629.4,1175592857,1332125465,1516882370,1667671720,1895260750,2104211719,2314488332,2477670972,2602424272,2652740333,2698513845,2772946892,2751048868,2752978398,2699979061,2815868450,3117740178,3032580386
Belgium,BEL,"GNI, Atlas method (current US$)",13641591823,14476670221,15944458897,17367717279,18879864986,20450916347,22257674652,24648205616,27304581821,29991013535,35350537141,45680738547,58593476576,67734022238,74457868972,80808471280,94084075935,1.15563E+11,1.37826E+11,1.3008E+11,1.10218E+11,92902068823,87358379673,86990552703,1.00256E+11,1.29247E+11,1.68426E+11,1.79183E+11,1.92494E+11,2.05932E+11,2.32729E+11,2.36051E+11,2.53795E+11,2.74407E+11,2.89995E+11,2.89648E+11,2.70641E+11,2.65718E+11,2.65413E+11,2.51586E+11,2.48631E+11,2.81156E+11,3.42924E+11,3.95909E+11,4.21244E+11,4.54104E+11,4.98712E+11,5.07226E+11,5.13017E+11,5.13216E+11,5.23506E+11,5.34535E+11,5.36066E+11,5.13774E+11,4.9177E+11,4.83618E+11,5.26315E+11,5.5267E+11,5.31944E+11,5.91608E+11,6.29745E+11,6.44688E+11
Benin,BEN,"GNI, Atlas method (current US$)",233081244.1,249823276.5,271737334.7,292322671.9,308228074.6,314614211.3,333126806.2,344766352.1,352437255.8,347345820.9,397398703.1,487765487.4,599423384.6,668407934.7,706757958.3,787514376.5,876798112.5,1113346653,1433291411,1561860216,1427034076,1156983671,1121503753,1114750071,1202357092,1390353444,1698144661,1635602548,1825173505,1953417689,1947363956,2105179023,1894285394,2098301533,2130455437,2374740828,2403760112,2762941343,3285463000,3783167901,3890714812,4536166168,5655949820,6571349613,7082441115,7808105576,8977720950,9725278105,9953915593,10357314406,10942496021,12214953761,13069576865,12462818464,12104023378,12203345771,13728468192,14803042848,15510181612,17249460834,18654931125,19699568400
Burkina Faso,BFA,"GNI, Atlas method (current US$)",387079234,387900779.7,408452225.5,428515759.6,440441286.2,474418479,488390595.1,495557663.7,492796321.3,503420899.4,551659417.3,657214246.3,829367840.7,962066238.9,1040581437,1100289201,1307248244,1672887525,2016183086,2079799216,2020634180,1726429076,1550335317,1600017145,1864882213,2189871551,2715942816,2828813293,2922762679,3227199421,3445118326,3421404999,2733946301,2559493173,2562019872,2682136813,2729578650,3003739874,3135673598,3302319449,3339651440,4053974304,5021639688,6137861202,6734050964,7275158296,8431017728,9277584613,10111306845,10923947116,12119235602,13218406478,13374188291,12719827562,12626356084,12947522458,14844368559,15808056722,16678684590,18335343218,19373497673,19697485336
Bangladesh,BGD,"GNI, Atlas method (current US$)",,,,,,,,,,,,8399229203,10948234835,14726601164,14612255951,12748203736,12459885763,15000933835,18482464846,21495903580,20906830881,19631686878,19385911623,20469650220,23034262941,26554303287,28686459943,30263526809,32618765050,33713368749,35343162387,35844144873,36601374717,39239825917,43235500965,47648031017,51007260846,52908196769,55712709025,57006615191,57885640080,62202314642,69524380791,76610789319,80896041554,86325073036,95691428993,1.06131E+11,1.18315E+11,1.3333E+11,1.46833E+11,1.58805E+11,1.71233E+11,1.91339E+11,2.25592E+11,2.66737E+11,3.29854E+11,3.66469E+11,3.85239E+11,4.3556E+11,4.83371E+11,4.93932E+11
Bulgaria,BGR,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,21029650794,18679756143,18027947125,17466578583,19588769137,24404178345,27889860110,25143313522,19583467212,14005767677,12201065686,10582888285,10500779720,12751576534,13265926276,12129809302,11856359150,12146868063,13562745977,14192525442,15421104006,18444531844,23597391685,29128687189,32658103888,36336316482,45506114796,49728754927,51842228079,53386008477,54766093429,55187884330,55665386418,53359150403,52781352542,53947735691,59958443795,66274613365,66086984109,75965019544,86291504891,92955120587
Bahrain,BHR,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,2728505862,3187761039,3287840336,3628805042,3790810480,3314646402,3132765171,3458355360,3628046132,3686362524,4497900921,4994683422,5171129928,5380447663,5321909075,5852426554,6244712128,6133273914,6178095355,6284399991,7966747325,8415750847,8864867961,10077169513,12089682733,14713723046,17146154927,20366230215,23250102238,22319121664,23537720534,23212673261,28613156267,31282350546,32157332384,31006860866,30796718522,31695379494,34496477866,36492106060,33927062990,36156241783,40801595328,42013980357
"Bahamas, The",BHS,"GNI, Atlas method (current US$)",188281882.4,210284029.5,235353815.9,266062954.5,299223721.1,339896179.5,389425886.3,453681723.3,494517977.2,541492640.3,567006845.6,679535213.3,710279951.9,876724605.2,601319732.6,663176664.5,750413498,1070542473,1274477881,1246649509,1400928838,1494485086,1770748664,1996436628,2246851634,2626461032,2898852368,3130723131,3040510048,2956545707,3073669659,3066883022,3199907521,3995583280,4524381725,4185965166,5104093979,7112422100,7732579723,8038571754,8364163114,8693917815,9332468909,9932077373,10182287902,10489838621,10620272830,10131134797,10040047174,10031455235,10376098635,10104506598,10321308563,10508280318,10658759188,11338563806,11841798730,12220187782,9571782810,11371233797,12720222304,13200746578
Bosnia and Herzegovina,BIH,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4818356145,3834202298,2143516181,1878141589,2482604710,3599923280,5016160271,5253915821,5525188055,5928942219,6574027718,7649975033,10154900523,11522099104,12846776654,14754558804,17762735039,18577059978,18360908053,18340376801,17987304621,18664887594,18455365504,18086544443,17600401100,17385647666,19385968203,20687550970,20316003117,22606222236,24731940513,26211185662
Belarus,BLR,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27600000000,17205062775,11646180787,14010421431,14778943341,15584440170,15716559747,14138688448,13765809032,12926037362,13638304684,15937211152,21128550061,27217479705,33761151079,41176324223,52095905436,53836607770,58336092055,60026837310,62626444890,66405454809,72028951010,63815259853,53366339707,50355250606,54056744191,59991300950,60152522811,65477972902,66686765453,71440111457
Belize,BLZ,"GNI, Atlas method (current US$)",31790496.22,33773265.8,35978342.63,39103687.69,43127191.71,47296310.2,48765049.58,49722757.19,51723172.92,56207254.94,65823205.41,77391723.82,95508678.46,112407298.3,107925333.6,117219108.3,128748220.7,158196087.8,205133422.4,211220402.9,195610956.9,179372316.9,186159782.7,198229225.6,229547540,280639803.5,335542573.3,380883572.2,459070962.5,558323784.9,702731974.1,744718088.4,753827245.1,792603327.3,819453282.2,857062237.7,867108464.8,943266917.9,1074234106,1105446059,1161154502,1267871696,1352758975,1406772414,1479351221,1534621972,1567273845,1644771624,1610198058,1676938854,1765052560,1893804955,1966096578,2061416233,2058497886,2050263022,2140784673,2263307082,2022647225,2415439176,2686844502,2955071031
Bermuda,BMU,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6739210222,6560076917,6486349908,6614504761,6508284316,6596440015,6689406375,7213810392,7478242794,7495584093,7143259858,7822070898,8562295533,
Bolivia,BOL,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,2791509865,3056187872,3491979547,4157531805,4571263936,5107498430,4940748583,4948285103,5155343746,5159710415,4672084834,4599778742,4692527185,4834990349,4935696862,5187889444,5500506595,5786266083,6076520549,6481981074,6996546998,7562658299,8000748390,8051805799,8287220575,8178334218,8013319839,8087241813,8660904873,9396905525,10417513103,11706816631,14340297576,16050387660,17900908154,20429897628,23313311404,27255102211,30352501101,32208419843,33490607690,34575847668,38242657885,40542447637,37214351061,39797223383,42674624183,44649171509
Brazil,BRA,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34553E+12,5.9192E+11,3.84678E+11,3.59862E+11,3.6241E+11,4.16538E+11,5.56282E+11,7.2564E+11,8.52112E+11,8.42278E+11,7.26413E+11,6.87478E+11,5.93935E+11,5.56554E+11,5.43481E+11,6.16155E+11,7.43914E+11,9.12924E+11,1.17751E+12,1.46269E+12,1.61403E+12,1.88791E+12,2.18896E+12,2.45381E+12,2.5711E+12,2.45701E+12,2.08425E+12,1.83999E+12,1.8085E+12,1.92005E+12,1.95307E+12,1.68636E+12,1.68921E+12,1.77431E+12,1.96234E+12
Barbados,BRB,"GNI, Atlas method (current US$)",122736166.1,120442350.4,129581199.3,150113942.5,152460873.8,168551314.5,178728860.6,191766531.3,213577154.4,238237905.9,267203572,325762431.6,393690210.1,441288757.1,519950788.4,588728173.7,670948000,820813866.9,871320381.4,1037563761,1116376918,1138880987,1263414146,1359802724,1518410982,1727232112,1924151372,2042994901,1983488194,1981442825,1961838035,2029113660,2120909304,2218292104,2322016458,2427226266,2537665189,2655150413,2926246619,2895584910,2913090220,3099131583,3383468817,3658306711,3948907123,4326212735,4527346533,4426709277,4392280761,4260850614,4473040658,4470003733,4470175219,4509606532,4571233626,4622792263,4801638648,4992039180,4650182373,4818722996,5691148158,6000839889
Brunei Darussalam,BRN,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,3039405069,3223733613,3615583975,4152319917,4233477949,4367057903,4659597498,4938443870,5059580041,4602950604,4579499540,4892163666,5465215639,5942559325,6290388294,7184967616,8429121970,10210039490,11595874525,12956602358,12460695504,12942811167,13983840910,16906939068,18329324024,17656472824,16120439313,13925371185,12650738438,12604886966,13965479852,13785082196,13502110764,14101777008,15825272603
Bhutan,BTN,"GNI, Atlas method (current US$)",,,,,,,,,,,56779369.58,64741938.88,77788338.44,79782631.82,81160891.08,83255007.29,85303863,91733636.73,106197408,120206755.3,115883430.9,110512236.6,125884579.4,131024646.5,157437702.2,230733447.4,266444163.4,284924577.8,295580365.5,255883459.6,241332658.3,224630938.3,239687888.9,248459209.1,274719446.9,304678887.5,296327847.1,321171109,423072895.1,474119633.5,536844922.7,612258231.6,708803347.7,833908735.7,930640627.3,1151576700,1266571142,1371161049,1515405795,1696376932,1839224265,1874316265,1924751301,1995199619,2115586505,2228450818,2391830464,2578551454,2342260819,2558909539,2810795079,
Botswana,BWA,"GNI, Atlas method (current US$)",40040001.87,43034308.92,46664090.27,50923611.26,55865436.35,60074210.47,70619658.65,85153020.25,101235220.9,131029320.4,171495938.8,240821218.6,312847865.1,385962717.2,419302657.8,467880676.3,572026320.3,770054074.2,997617403.2,1248708897,1242986331,1163889192,1119512164,1146120586,1281646522,1547463603,2381863958,2887773434,3505142827,4068913845,4455125960,4655539465,4238185554,4795947030,4787804015,5125361228,5053971833,5072642079,5217043804,5465282213,4991385474,5851634154,6928494653,8877968957,10124089725,10749196108,10656672200,9742888537,10924310409,13478154389,14575466034,14871294312,15173763572,13517543943,13545412279,14065757141,15358921983,16561838078,15607532381,17863093821,19512819484,20389224911
Central African Republic,CAF,"GNI, Atlas method (current US$)",120380502.1,125062096.1,134925238.7,145136960.4,155399465.6,167340037.9,179097992.5,198049685.5,204548144.5,204103784.6,220738719,264311363.3,319658377,371786863.4,419593340.4,495771269.3,577186228.7,666973235.1,784541059.6,800159358.1,804163697.5,658220326.9,679354488.2,741083733.7,894757734.2,1106030879,1312780744,1335090027,1349587850,1371752196,1398381907,1362034668,1162011677,1137803733,990564722.7,1028192491,977197141.6,980949372.6,938658349.1,955815349.7,964457747.2,1006614095,1207337002,1356623569,1455419205,1601736848,1792646214,2086185555,2224629023,2344404754,2512729546,1670496471,1742839368,1802704235,1869960217,2006376458,2299192876,2450838201,2451238915,2613670960,2666451333,2710741791
Canada,CAN,"GNI, Atlas method (current US$)",44353692434,45794999709,48775099257,53573217417,59756049473,64200655241,71251504111,78747337060,85518083415,95694542983,1.11404E+11,1.35909E+11,1.63886E+11,1.85542E+11,2.05821E+11,2.16509E+11,2.33757E+11,2.56605E+11,2.84486E+11,3.07079E+11,2.98795E+11,3.09026E+11,3.36706E+11,3.60224E+11,3.80024E+11,4.31694E+11,4.98941E+11,5.41846E+11,5.71751E+11,5.88395E+11,6.07581E+11,6.1009E+11,6.05812E+11,6.10842E+11,6.1651E+11,6.37954E+11,6.30315E+11,6.51993E+11,6.97909E+11,7.17121E+11,7.39663E+11,8.06264E+11,9.43202E+11,1.10633E+12,1.23459E+12,1.36635E+12,1.49381E+12,1.45382E+12,1.5128E+12,1.62035E+12,1.77309E+12,1.85243E+12,1.84975E+12,1.69885E+12,1.58523E+12,1.56789E+12,1.67052E+12,1.75225E+12,1.66928E+12,1.86548E+12,2.0754E+12,2.16263E+12
Central Europe and the Baltics,CEB,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43055E+11,2.61674E+11,2.91406E+11,3.44677E+11,3.95133E+11,4.18614E+11,4.22609E+11,4.26739E+11,4.43657E+11,4.49008E+11,4.73766E+11,5.53103E+11,6.78553E+11,8.20141E+11,9.36071E+11,1.08775E+12,1.30011E+12,1.33649E+12,1.33613E+12,1.35193E+12,1.36568E+12,1.38875E+12,1.40324E+12,1.36828E+12,1.32124E+12,1.34272E+12,1.50681E+12,1.63137E+12,1.61909E+12,1.78996E+12,1.94582E+12,2.0374E+12
Switzerland,CHE,"GNI, Atlas method (current US$)",12031490928,13187446892,14593169341,15526213696,16810673126,18103499800,19832984553,21809192939,26064524358,29191183467,34523759760,45619394813,58882513972,66762918789,70653129069,77720227936,90446671560,1.13161E+11,1.41039E+11,1.39314E+11,1.25567E+11,1.17038E+11,1.19E+11,1.20197E+11,1.36101E+11,1.72534E+11,2.27997E+11,2.40782E+11,2.54862E+11,2.62371E+11,2.89135E+11,2.91049E+11,3.01102E+11,3.28806E+11,3.51284E+11,3.49412E+11,3.27995E+11,3.15691E+11,3.20279E+11,3.03759E+11,2.96071E+11,3.42457E+11,4.06436E+11,4.66863E+11,4.88637E+11,4.84168E+11,4.9613E+11,5.55993E+11,6.18494E+11,6.43494E+11,6.93481E+11,7.32809E+11,7.22614E+11,7.19021E+11,6.97965E+11,6.8267E+11,7.02168E+11,7.13128E+11,7.06059E+11,7.90418E+11,8.37997E+11,8.42132E+11
Channel Islands,CHI,"GNI, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GNI, Atlas method (current US$)",5022238735,5612057608,5922480771,5985964773,6911054453,7173905836,7470635240,7961851199,8637737765,10496211441,11568972276,13952565755,17228051359,12171035250,10902080888,11595173075,15123261585,20132247032,26309561816,32244092653,24040518543,19697406039,17665539892,17509612822,18302286410,20990559627,24829453783,28685014300,31192226733,35178601706,42783336993,47961110883,52844378502,63589799596,74113226370,83043034188,82733711119,78170404900,77957926481,74912288132,71754001898,73257473714,84224843287,1.0137E+11,1.21369E+11,1.45014E+11,1.67615E+11,1.68116E+11,1.84268E+11,2.05798E+11,2.48199E+11,2.66798E+11,2.6237E+11,2.54044E+11,2.43046E+11,2.44937E+11,2.73178E+11,2.82097E+11,2.51018E+11,2.87802E+11,3.02413E+11,3.10628E+11
China,CHN,"GNI, Atlas method (current US$)",45785554452,52458766211,61334255830,71764901548,79658587133,75175918222,73036342308,85347335204,1.00211E+11,1.05767E+11,1.14722E+11,1.40517E+11,1.62067E+11,1.87354E+11,1.73662E+11,1.83673E+11,1.8771E+11,2.03029E+11,2.14902E+11,2.23111E+11,2.22315E+11,2.29272E+11,2.59465E+11,3.01516E+11,3.31339E+11,3.50323E+11,3.65485E+11,3.58742E+11,3.7417E+11,4.07778E+11,4.59951E+11,4.93421E+11,5.56579E+11,6.49678E+11,7.9539E+11,9.26893E+11,9.91172E+11,1.07277E+12,1.18152E+12,1.28749E+12,1.42314E+12,1.64832E+12,1.95962E+12,2.2951E+12,2.70655E+12,3.31031E+12,4.10418E+12,4.90128E+12,5.80188E+12,6.78389E+12,8.00608E+12,9.19384E+12,1.02466E+13,1.08832E+13,1.13879E+13,1.21049E+13,1.33855E+13,1.45129E+13,1.48438E+13,1.68836E+13,1.82061E+13,1.88993E+13
Cote d'Ivoire,CIV,"GNI, Atlas method (current US$)",620762614.2,721613582.5,885121618.2,887462003.9,1011605553,1072952725,1250499173,1389035169,1537676672,1623469258,1788480287,2227242526,2924349541,3823422790,4588233621,5496993576,7012995350,8691557482,9317824110,9495038025,8387623137,6546703951,6259070788,6315631335,7545232747,8704999650,10118374507,9536262119,9252562276,9334244922,9969482769,9928779305,9392716794,9904300974,7941566172,10129269792,11813008146,11767120766,10715842936,10046144124,9906939123,11085269948,13896865770,17008726792,17550779930,18516796834,21452404130,23771712532,25191501226,23341807787,26806058980,29766420354,45707802573,47540059402,48916733337,50063915044,55125815647,59848852037,61171952028,68303480072,73699585852,77059680416
Cameroon,CMR,"GNI, Atlas method (current US$)",,,,,,695794221.3,829701135.8,986840661.7,1057944365,1147434115,1309779712,1548800734,2057735950,2672112082,2574588977,2705434811,4246221732,5388491935,5553260596,7084866864,7137816665,6660070410,7054265878,7848848301,9892134515,11947178750,13089115980,12317950810,11383818351,10907867592,11566743550,12215595784,11292353851,11352340619,10387100492,10898323127,10859643245,11080228678,10876798936,10682116850,11003908197,13330180004,17076946411,19488520319,21056705024,22495275137,25308097096,27820821905,28541547541,29657442364,30562025543,32724499328,34565250095,34926201164,34412094663,34106364840,37685520424,39762247067,40320016762,43306397154,45419248749,47320053031
